plate,well_id,treatment,day0_area_mm,day1_area_mm,day2_area_mm,day3_area_mm,day4_area_mm,day5_area_mm,day6_area_mm,day7_area_mm,day8_area_mm,day9_area_mm,day10_area_mm,RGR,PG,0.046
29,c5,DR_Y_ODR,175.651,,,,,,,,,,648.876,5.958391728,2.694120728,
24,a4,LR_N_ODR,293.411,,,,,,,,,,1086.198,6.422281369,2.701967547,
34,c4,DR_Y_N,188.807,,,,,,,,,,699.453,6.026226068,2.70459252,
9,b4,UM_N_H,205.321,,,,,,,,,,761.346,6.102630459,2.708076621,
13,b5,DR_Y_H,225.239,,,,,,,,,,835.36,6.186146564,2.708771572,
38,b5,W_N_ODR,273.171,,,,,,,,,,1013.84,6.360490584,2.711374926,
18,b4,M_N_ODR,104.167,,,,,,,,,,387.205,5.49435473,2.717156105,
11,c4,DR_Y_ODR,192.05,,,,,,,,,,714.058,6.045188616,2.718083832,
28,b2,DR_N_ODR,200.583,,,,,,,,,,747.592,6.086734562,2.727095517,
40,b2,W_Y_KF,210.519,,,,,,,,,,785.082,6.13083058,2.729269092,
23,b5,DR_N_H,177.859,,,,,,,,,,663.895,5.980024894,2.732703996,
15,b3,DR_Y_ODR,250.631,,,,,,,,,,936.974,6.29025736,2.738460127,
19,a1,DR_Y_ODR,310.891,,,,,,,,,,1163.685,6.485402736,2.743064289,
9,b2,W_N_H,220.317,,,,,,,,,,824.688,6.175498391,2.743188224,
6,b1,M_Y_N,246.146,,,,,,,,,,922.024,6.275978768,2.745841899,
14,c2,UM_Y_N,242.144,,,,,,,,,,910.409,6.26494069,2.759783435,
2,c2,DR_N_KF,249.343,,,,,,,,,,937.963,6.291827557,2.761737847,
26,b5,TF_N_N,184.322,,,,,,,,,,694.094,6.020938975,2.765660095,
25,d3,DR_Y_ODR,206.31,,,,,,,,,,777.308,6.122898679,2.767670011,
12,a1,W_N_ODR,183.862,,,,,,,,,,693.013,6.01963021,2.769201901,
6,a2,M_N_H,231.035,,,,,,,,,,871.401,6.22584534,2.771727227,
14,d5,LR_Y_H,224.71,,,,,,,,,,847.826,6.201194358,2.772978506,
19,b3,LR_N_H,149.224,,,,,,,,,,563.247,5.8331734,2.774506782,
16,b2,W_Y_ODR,184.92,,,,,,,,,,698.188,6.026496078,2.775621891,
23,c3,W_N_KF,234.784,,,,,,,,,,887.018,6.241998681,2.778017241,
31,c4,UM_N_ODR,176.594,,,,,,,,,,667.437,5.986059673,2.77949987,
10,c6,M_N_N,181.723,,,,,,,,,,688.206,6.013839857,2.787115555,
26,c4,W_N_KF,168.406,,,,,,,,,,638.158,6.101940363,2.789401803,
11,c3,DR_N_ODR,192.648,,,,,,,,,,730.894,6.068181973,2.793935053,
29,b1,W_N_KF,272.412,,,,,,,,,,1034.218,6.380669302,2.796521445,
27,c4,M_Y_ODR,145.314,,,,,,,,,,551.747,5.815199916,2.796929408,
20,a6,TF_N_N,176.824,,,,,,,,,,673.578,5.995088313,2.809313215,
20,c4,W_N_ODR,272.205,,,,,,,,,,1037.53,6.383942621,2.811575834,
1,b2,LR_N_KF,233.427,,,,,,,,,,890.169,6.246124393,2.813479161,
40,b5,DR_N_KF,260.452,,,,,,,,,,993.761,6.345254877,2.81552455,
31,b4,UM_N_KF,166.957,,,,,,,,,,637.215,5.945333489,2.816641411,
10,b4,DR_N_H,193.775,,,,,,,,,,740.922,6.081225587,2.823620178,
36,d4,TF_N_N,208.587,,,,,,,,,,798.215,6.148342363,2.826772522,
17,b2,LR_Y_KF,237.912,,,,,,,,,,912.226,6.268697681,2.834300077,
4,a5,DR_Y_H,202.423,,,,,,,,,,776.204,6.123379416,2.834564254,
32,a6,LR_N_N,149.155,,,,,,,,,,572.056,5.848738285,2.835312259,
28,c2,DR_N_H,169.303,,,,,,,,,,649.336,5.962781301,2.835348458,
30,a5,UM_N_N,130.525,,,,,,,,,,501.814,5.731073055,2.844581498,
30,b5,UM_N_ODR,221.881,,,,,,,,,,854.151,6.209893873,2.849590546,
18,c2,UM_N_N,156.193,,,,,,,,,,602.048,5.895227934,2.854513326,
38,b2,DR_Y_ODR,247.296,,,,,,,,,,953.212,6.308778734,2.85453869,
19,b6,M_N_H,185.426,,,,,,,,,,716.703,6.052395941,2.865169933,
13,a6,DR_N_ODR,222.41,,,,,,,,,,859.786,6.216231269,2.865770424,
18,c3,M_Y_N,173.834,,,,,,,,,,672.129,5.994640204,2.866499074,
2,a1,DR_Y_H,181.976,,,,,,,,,,706.721,6.040248482,2.88359454,
40,c1,W_Y_ODR,190.923,,,,,,,,,,742.118,6.08432124,2.887001566,
33,c1,W_Y_N,164.956,,,,,,,,,,641.447,5.953158685,2.888594534,
8,c5,LR_Y_H,188.278,,,,,,,,,,732.918,6.073241867,2.892743709,
20,b2,UM_N_KF,131.146,,,,,,,,,,510.6,5.747955384,2.893370747,
32,b4,TF_Y_KF,210.68,,,,,,,,,,821.652,6.176282908,2.9,
8,a4,DR_N_N,163.162,,,,,,,,,,637.353,5.947849305,2.90625881,
14,c5,LR_Y_N,149.132,,,,,,,,,,583.073,5.867829211,2.909777915,
6,a4,LR_Y_H,293.112,,,,,,,,,,1147.769,6.477519858,2.915803515,
1,b4,M_N_KF,168.544,,,,,,,,,,660.882,5.980855622,2.921124454,
30,c5,UM_N_KF,166.405,,,,,,,,,,653.108,5.970300049,2.924809952,
3,b2,M_N_H,138.276,,,,,,,,,,542.846,5.803900501,2.925815037,
34,b3,DR_N_ODR,213.762,,,,,,,,,,839.638,6.196484522,2.92791048,
26,a5,TF_N_ODR,227.654,,,,,,,,,,894.424,6.253397242,2.92887452,
6,c2,M_N_KF,156.469,,,,,,,,,,614.951,5.916256799,2.930177863,
8,b4,DR_N_ODR,239.039,,,,,,,,,,941.183,6.299474923,2.937361686,
25,c1,M_Y_N,236.003,,,,,,,,,,930.373,6.289201129,2.942208362,
31,a1,DR_Y_N,196.949,,,,,,,,,,776.641,6.126683729,2.943360972,
13,c6,DR_N_KF,281.474,,,,,,,,,,1111.774,6.449708209,2.949828403,
36,c2,DR_Y_ODR,232.898,,,,,,,,,,920.276,6.279613566,2.951412206,
23,d4,W_Y_ODR,162.587,,,,,,,,,,642.735,5.956611184,2.953175838,
24,c2,TF_N_N,145.199,,,,,,,,,,574.356,5.855438892,2.955647077,
35,a6,UM_Y_N,213.578,,,,,,,,,,845.618,6.20366751,2.95929356,
34,c1,M_Y_N,230.598,,,,,,,,,,914.02,6.27378486,2.963694395,
11,a3,DR_N_H,246.583,,,,,,,,,,980.076,6.336860255,2.974629232,
23,d3,W_N_ODR,246.399,,,,,,,,,,979.754,6.336606302,2.976290488,
5,a4,W_N_H,195.73,,,,,,,,,,780.436,6.132179122,2.987309048,
9,c5,LR_N_KF,168.268,,,,,,,,,,671.462,5.99690163,2.99043193,
14,d6,LR_N_H,233.197,,,,,,,,,,931.983,6.292126215,2.996547983,
31,a4,UM_N_N,197.409,,,,,,,,,,789.107,6.142374154,2.997320284,
13,d6,DR_N_N,190.486,,,,,,,,,,761.944,6.110915192,3,
7,b2,W_N_KF,238.349,,,,,,,,,,953.442,6.312704996,3.000192994,
2,d4,UM_N_N,163.691,,,,,,,,,,655.96,5.976301761,3.007306449,
36,d2,DR_Y_N,254.564,,,,,,,,,,1020.464,6.374057477,3.008673654,
34,d2,M_N_KF,169.211,,,,,,,,,,678.776,6.007176531,3.011417697,
34,c5,TF_N_N,183.241,,,,,,,,,,735.264,6.079149396,3.012551776,
4,c5,DR_Y_N,266.087,,,,,,,,,,1068.557,6.415682087,3.015818135,
22,c5,LR_Y_H,198.927,,,,,,,,,,799.664,6.154897847,3.019886692,
